Logs for Makerere Challenge



Epoch:241, Train L:0.0862, Train A:96.22, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:242, Train L:0.0802, Train A:96.91, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:243, Train L:0.0873, Train A:96.68, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:244, Train L:0.0813, Train A:96.22, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:245, Train L:0.0778, Train A:96.91, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:246, Train L:0.0716, Train A:97.15, Val L:0.1487, Val A:94.75, LR:1.953125e-08
Epoch:247, Train L:0.0901, Train A:96.37, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:248, Train L:0.0904, Train A:96.60, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:249, Train L:0.0825, Train A:96.91, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:250, Train L:0.0929, Train A:96.22, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:251, Train L:0.0952, Train A:96.06, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:252, Train L:0.0779, Train A:96.99, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:253, Train L:0.0724, Train A:96.76, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:254, Train L:0.0820, Train A:96.84, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:255, Train L:0.0828, Train A:96.53, Val L:0.1487, Val A:94.75, LR:1.953125e-08
Epoch:256, Train L:0.0854, Train A:96.53, Val L:0.1487, Val A:94.75, LR:1.953125e-08
Epoch:257, Train L:0.0895, Train A:96.37, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:258, Train L:0.0936, Train A:96.22, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:259, Train L:0.0939, Train A:96.60, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:260, Train L:0.0924, Train A:96.22, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:261, Train L:0.0893, Train A:96.22, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:262, Train L:0.0776, Train A:96.68, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:263, Train L:0.0885, Train A:96.22, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:264, Train L:0.0965, Train A:95.91, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:265, Train L:0.0847, Train A:96.22, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:266, Train L:0.0883, Train A:96.53, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:267, Train L:0.0740, Train A:97.07, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:268, Train L:0.0967, Train A:95.60, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:269, Train L:0.0837, Train A:97.07, Val L:0.1481, Val A:94.75, LR:1.953125e-08
Epoch:270, Train L:0.0889, Train A:96.76, Val L:0.1481, Val A:94.75, LR:1.953125e-08
Epoch:271, Train L:0.0793, Train A:96.45, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:272, Train L:0.0976, Train A:95.76, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:273, Train L:0.0783, Train A:96.91, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:274, Train L:0.0794, Train A:96.76, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:275, Train L:0.0895, Train A:96.30, Val L:0.1483, Val A:94.75, LR:1.953125e-08
